2026-06-24 07:03:32 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:03:32.246392", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:05:38 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:05:38.394862", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:53:44 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:53:44.482008", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:55:04 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:55:04.861446", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:56:01 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:56:01.703801", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:56:58 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:56:58.373499", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:02 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:02.025246", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:15 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:15.042680", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-24 07:59:33 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:59:33.962012", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
